Punjab,Bombing/Explosion
Punjab,Bombing/Explosion
Delhi,Bombing/Explosion
Delhi,Bombing/Explosion
Punjab,ArmedAssault
Haryana,Bombing/Explosion
Punjab,Assassination
Punjab,Assassination
Haryana,ArmedAssault
WestBengal,Bombing/Explosion
Punjab,Bombing/Explosion
WestBengal,Bombing/Explosion
Punjab,Bombing/Explosion
Punjab,Assassination
Punjab,Assassination
Punjab,Assassination
Unknown,Assassination
Punjab,Assassination
Punjab,ArmedAssault
WestBengal,Bombing/Explosion
Haryana,Bombing/Explosion
Punjab,Assassination
Chandigarh,ArmedAssault
Delhi,Bombing/Explosion
Haryana,ArmedAssault
Punjab,Bombing/Explosion
Punjab,Assassination
Punjab,Assassination
Punjab,Assassination
UttarPradesh,Assassination
Maharashtra,ArmedAssault
Punjab,Assassination
Punjab,ArmedAssault
WestBengal,ArmedAssault
Punjab,Assassination
Assam,Assassination
Unknown,ArmedAssault
Assam,Bombing/Explosion
WestBengal,Assassination
WestBengal,Assassination
Punjab,ArmedAssault
WestBengal,ArmedAssault
WestBengal,Bombing/Explosion
Punjab,HostageTaking(Kidnapping)
Punjab,Assassination
Punjab,ArmedAssault
Punjab,Assassination
Maharashtra,Assassination
Unknown,Assassination
WestBengal,Assassination
Manipur,ArmedAssault
Punjab,Assassination
Bihar,Assassination
Assam,Bombing/Explosion
Assam,Unknown
MadhyaPradesh,Bombing/Explosion
Jharkhand,Assassination
Gujarat,Assassination
Punjab,Assassination
Punjab,ArmedAssault
WestBengal,Bombing/Explosion
Haryana,ArmedAssault
Punjab,Assassination
Manipur,ArmedAssault
Punjab,ArmedAssault
Chandigarh,ArmedAssault
Karnataka,Bombing/Explosion
Unknown,ArmedAssault
WestBengal,Assassination
Punjab,ArmedAssault
WestBengal,ArmedAssault
Chhattisgarh,Assassination
Punjab,Assassination
Gujarat,Assassination
Unknown,ArmedAssault
Punjab,Assassination
JammuandKashmir,Bombing/Explosion
JammuandKashmir,Bombing/Explosion
Unknown,Assassination
HimachalPradesh,Assassination
